"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.11.2024","1.170,00","1.190,00","1.190,00","1.170,00","","0,00%"
"31.10.2024","1.170,00","1.180,00","1.180,00","1.170,00","","0,86%"
"30.10.2024","1.160,00","1.180,00","1.180,00","1.160,00","","-1,28%"
"29.10.2024","1.175,00","1.205,00","1.205,00","1.175,00","","-2,08%"
"28.10.2024","1.200,00","1.220,00","1.220,00","1.200,00","","-1,23%"
"25.10.2024","1.215,00","1.225,00","1.215,00","1.215,00","","1,67%"
"24.10.2024","1.195,00","1.215,00","1.215,00","1.195,00","","-2,05%"
"23.10.2024","1.220,00","1.255,00","1.220,00","1.220,00","","-0,41%"
"22.10.2024","1.225,00","1.245,00","1.245,00","1.225,00","","0,41%"
"21.10.2024","1.220,00","1.225,00","1.225,00","1.220,00","","0,41%"
"18.10.2024","1.215,00","1.235,00","1.215,00","1.215,00","","1,25%"
"17.10.2024","1.200,00","1.220,00","1.220,00","1.200,00","","0,00%"
"16.10.2024","1.200,00","1.235,00","1.235,00","1.200,00","","-1,23%"
"15.10.2024","1.215,00","1.200,00","1.215,00","1.200,00","","3,85%"
"14.10.2024","1.170,00","1.175,00","1.175,00","1.170,00","","0,00%"
"10.10.2024","1.170,00","1.185,00","1.170,00","1.170,00","","1,30%"
"09.10.2024","1.155,00","1.175,00","1.175,00","1.155,00","","0,00%"
"08.10.2024","1.155,00","1.180,00","1.180,00","1.155,00","","-0,86%"
"07.10.2024","1.165,00","1.195,00","1.195,00","1.165,00","","-0,85%"
"04.10.2024","1.175,00","1.205,00","1.205,00","1.175,00","","-0,84%"
"03.10.2024","1.185,00","1.210,00","1.210,00","1.185,00","","-0,84%"
"02.10.2024","1.195,00","1.215,00","1.215,00","1.195,00","","-1,24%"
"01.10.2024","1.210,00","1.235,00","1.210,00","1.210,00","","-0,41%"
"30.09.2024","1.215,00","1.240,00","1.240,00","1.215,00","","-1,62%"
"27.09.2024","1.235,00","1.250,00","1.235,00","1.235,00","","1,23%"
"26.09.2024","1.220,00","1.250,00","1.220,00","1.220,00","","0,00%"
"25.09.2024","1.220,00","1.240,00","1.240,00","1.220,00","","-0,41%"
"24.09.2024","1.225,00","1.240,00","1.240,00","1.225,00","","0,00%"
"23.09.2024","1.225,00","1.240,00","1.240,00","1.225,00","","-0,81%"
"20.09.2024","1.235,00","1.250,00","1.235,00","1.235,00","","0,41%"
"19.09.2024","1.230,00","1.245,00","1.230,00","1.230,00","","-0,81%"
"18.09.2024","1.240,00","1.265,00","1.265,00","1.240,00","","-1,59%"
"17.09.2024","1.260,00","1.280,00","1.260,00","1.260,00","","0,40%"
"16.09.2024","1.255,00","1.265,00","1.265,00","1.255,00","","0,00%"
"13.09.2024","1.255,00","1.285,00","1.255,00","1.255,00","","-1,18%"
"12.09.2024","1.270,00","1.290,00","1.270,00","1.270,00","","-0,39%"
"11.09.2024","1.275,00","1.290,00","1.275,00","1.275,00","","1,19%"
"10.09.2024","1.260,00","1.280,00","1.280,00","1.260,00","","0,00%"
"09.09.2024","1.260,00","1.270,00","1.260,00","1.260,00","","1,61%"
"06.09.2024","1.240,00","1.245,00","1.245,00","1.240,00","","-1,20%"
"05.09.2024","1.255,00","1.315,00","1.255,00","1.255,00","","-3,09%"
"04.09.2024","1.295,00","1.320,00","1.295,00","1.295,00","","0,39%"
"03.09.2024","1.290,00","1.315,00","1.315,00","1.290,00","","0,39%"
"02.09.2024","1.285,00","1.310,00","1.310,00","1.285,00","","0,00%"
"30.08.2024","1.285,00","1.315,00","1.315,00","1.285,00","","-1,53%"
"29.08.2024","1.305,00","1.335,00","1.305,00","1.305,00","","-1,51%"
"28.08.2024","1.325,00","1.350,00","1.325,00","1.325,00","","-0,38%"
"27.08.2024","1.330,00","1.360,00","1.330,00","1.330,00","","0,00%"
"26.08.2024","1.330,00","1.350,00","1.350,00","1.330,00","","0,00%"
"23.08.2024","1.330,00","1.350,00","1.350,00","1.330,00","","0,00%"
"22.08.2024","1.330,00","1.350,00","1.350,00","1.330,00","","-0,37%"
"21.08.2024","1.335,00","1.360,00","1.360,00","1.335,00","","0,00%"
"20.08.2024","1.335,00","1.365,00","1.365,00","1.335,00","","-0,37%"
"19.08.2024","1.340,00","1.350,00","1.340,00","1.340,00","","1,13%"
"16.08.2024","1.325,00","1.350,00","1.350,00","1.325,00","","-1,12%"
"15.08.2024","1.340,00","1.365,00","1.340,00","1.340,00","","0,37%"
"14.08.2024","1.335,00","1.360,00","1.360,00","1.335,00","","-0,37%"
"13.08.2024","1.340,00","1.355,00","1.355,00","1.340,00","","-0,37%"
"12.08.2024","1.345,00","1.365,00","1.345,00","1.345,00","","0,75%"
"09.08.2024","1.335,00","1.365,00","1.365,00","1.335,00","","-2,20%"
"08.08.2024","1.365,00","1.380,00","1.365,00","1.365,00","","-0,73%"
"07.08.2024","1.375,00","1.385,00","1.375,00","1.375,00","","0,73%"
"06.08.2024","1.365,00","1.385,00","1.365,00","1.365,00","","-1,09%"
"05.08.2024","1.380,00","1.430,00","1.380,00","1.380,00","","-0,36%"
"02.08.2024","1.385,00","1.400,00","1.385,00","1.385,00","","1,09%"
"01.08.2024","1.370,00","1.375,00","1.370,00","1.370,00","","0,74%"
"31.07.2024","1.360,00","1.380,00","1.360,00","1.360,00","","-1,09%"
"30.07.2024","1.375,00","1.405,00","1.375,00","1.375,00","","-2,14%"
"29.07.2024","1.405,00","1.430,00","1.405,00","1.405,00","","-1,40%"
"26.07.2024","1.425,00","1.455,00","1.425,00","1.425,00","","-0,70%"
"25.07.2024","1.435,00","1.455,00","1.435,00","1.435,00","","-0,35%"
"24.07.2024","1.440,00","1.455,00","1.440,00","1.440,00","","0,35%"
"23.07.2024","1.435,00","1.455,00","1.435,00","1.435,00","","0,35%"
"22.07.2024","1.430,00","1.445,00","1.430,00","1.430,00","","-0,35%"
"19.07.2024","1.435,00","1.470,00","1.435,00","1.435,00","","-0,69%"
"18.07.2024","1.445,00","1.470,00","1.445,00","1.445,00","","0,00%"
"17.07.2024","1.445,00","1.425,00","1.445,00","1.445,00","","3,58%"
"16.07.2024","1.395,00","1.425,00","1.395,00","1.395,00","","-0,71%"
"15.07.2024","1.405,00","1.480,00","1.405,00","1.405,00","","-5,70%"
"12.07.2024","1.490,00","1.480,00","1.490,00","1.490,00","","2,41%"
"11.07.2024","1.455,00","1.460,00","1.455,00","1.455,00","","1,04%"
"10.07.2024","1.440,00","1.455,00","1.440,00","1.440,00","","0,70%"
"08.07.2024","1.430,00","1.430,00","1.430,00","1.430,00","","1,42%"
"05.07.2024","1.410,00","1.415,00","1.410,00","1.410,00","","1,08%"
